steps,reward
2000.0,0.0
4000.0,0.0
6000.0,0.0
8000.0,0.0
10000.0,0.0
12000.0,0.0
14000.0,0.0
16000.0,0.0
18000.0,0.0
20000.0,0.0
22000.0,0.0
24000.0,0.0
26000.0,0.0
28000.0,0.0
30000.0,0.0
32000.0,0.0
34000.0,0.0
36000.0,0.0
38000.0,0.0
40000.0,0.0
42000.0,0.0
44000.0,0.0
46000.0,0.0
48000.0,0.0
50000.0,0.0
52000.0,0.0
54000.0,0.0
56000.0,0.0
58000.0,0.0
60000.0,0.0
62000.0,0.0
64000.0,0.0
66000.0,0.0
68000.0,0.0
70000.0,0.0
72000.0,0.0
74000.0,0.0
76000.0,0.0
78000.0,0.0
80000.0,0.0
82000.0,0.0
84000.0,0.0
86000.0,0.2
88000.0,0.2
90000.0,0.2
92000.0,0.2
94000.0,0.2
96000.0,0.0
98000.0,0.2
100000.0,0.2
102000.0,0.2
104000.0,0.4
106000.0,0.4
108000.0,0.6
110000.0,0.0
112000.0,0.0
114000.0,0.4
116000.0,0.4
118000.0,0.4
120000.0,0.4
122000.0,0.6
124000.0,0.2
126000.0,0.4
128000.0,0.6
130000.0,0.8
132000.0,0.6
134000.0,0.6
136000.0,0.6
138000.0,0.8
140000.0,1.2
142000.0,0.8
144000.0,0.4
146000.0,0.8
148000.0,1.2
150000.0,0.8
152000.0,1.2
154000.0,1.2
156000.0,1.0
158000.0,0.8
160000.0,0.8
162000.0,1.2
164000.0,1.2
166000.0,1.0
168000.0,1.6
170000.0,1.0
172000.0,1.6
174000.0,1.0
176000.0,1.6
178000.0,1.8
180000.0,1.2
182000.0,0.6
184000.0,1.2
186000.0,1.2
188000.0,1.2
190000.0,1.0
192000.0,1.6
194000.0,1.6
196000.0,1.4
198000.0,1.6
200000.0,1.4
202000.0,1.2
204000.0,0.8
206000.0,2.0
208000.0,2.0
210000.0,1.8
212000.0,1.6
214000.0,1.4
216000.0,1.4
218000.0,1.4
220000.0,1.8
222000.0,1.4
224000.0,1.6
226000.0,1.6
228000.0,1.6
230000.0,2.0
232000.0,2.6
234000.0,1.8
236000.0,2.0
238000.0,1.6
240000.0,2.0
242000.0,2.0
244000.0,1.6
246000.0,2.0
248000.0,1.8
250000.0,2.0
252000.0,1.8
254000.0,2.2
256000.0,2.2
258000.0,2.0
260000.0,1.8
262000.0,1.6
264000.0,2.4
266000.0,2.0
268000.0,2.6
270000.0,2.0
272000.0,2.2
274000.0,2.2
276000.0,2.4
278000.0,2.4
280000.0,2.2
282000.0,2.2
284000.0,2.0
286000.0,2.2
288000.0,1.8
290000.0,2.4
292000.0,2.6
294000.0,2.6
296000.0,2.4
298000.0,2.6
300000.0,2.6
302000.0,2.2
304000.0,2.8
306000.0,3.0
308000.0,2.4
310000.0,2.6
312000.0,2.2
314000.0,2.6
316000.0,2.4
318000.0,2.4
320000.0,3.0
322000.0,2.4
324000.0,2.6
326000.0,2.4
328000.0,2.0
330000.0,2.8
332000.0,3.2
334000.0,3.8
336000.0,2.8
338000.0,3.0
340000.0,2.4
342000.0,3.0
344000.0,2.2
346000.0,3.2
348000.0,3.0
350000.0,3.2
352000.0,3.2
354000.0,2.8
356000.0,2.8
358000.0,2.8
360000.0,3.2
362000.0,2.6
364000.0,3.0
366000.0,3.2
368000.0,3.0
370000.0,3.2
372000.0,3.2
374000.0,3.2
376000.0,2.6
378000.0,2.8
380000.0,2.8
382000.0,3.0
384000.0,3.0
386000.0,3.6
388000.0,3.0
390000.0,3.2
392000.0,3.2
394000.0,3.4
396000.0,3.0
398000.0,3.6
400000.0,2.6
402000.0,3.6
404000.0,3.6
406000.0,3.6
408000.0,3.2
410000.0,4.0
412000.0,3.2
414000.0,3.0
416000.0,3.8
418000.0,3.0
420000.0,2.8
422000.0,3.2
424000.0,3.2
426000.0,3.0
428000.0,3.2
430000.0,3.6
432000.0,3.6
434000.0,4.0
436000.0,3.8
438000.0,3.4
440000.0,3.4
442000.0,3.4
444000.0,3.6
446000.0,3.2
448000.0,3.6
450000.0,3.6
452000.0,3.4
454000.0,3.6
456000.0,3.6
458000.0,2.8
460000.0,3.8
462000.0,3.2
464000.0,4.0
466000.0,3.0
468000.0,3.4
470000.0,4.0
472000.0,3.4
474000.0,4.0
476000.0,3.4
478000.0,3.4
480000.0,4.0
482000.0,3.0
484000.0,3.6
486000.0,3.6
488000.0,3.4
490000.0,3.8
492000.0,3.8
494000.0,3.8
496000.0,2.8
498000.0,3.8
500000.0,3.6
502000.0,4.4
504000.0,3.6
506000.0,3.4
508000.0,3.8
510000.0,4.0
512000.0,3.8
514000.0,3.6
516000.0,4.0
518000.0,3.8
520000.0,4.4
522000.0,3.4
524000.0,3.6
526000.0,3.2
528000.0,4.2
530000.0,4.0
532000.0,3.6
534000.0,4.2
536000.0,4.0
538000.0,3.8
540000.0,4.2
542000.0,3.8
544000.0,3.6
546000.0,4.2
548000.0,3.6
550000.0,3.8
552000.0,4.0
554000.0,4.0
556000.0,4.0
558000.0,4.0
560000.0,4.0
562000.0,3.2
564000.0,4.8
566000.0,4.4
568000.0,4.0
570000.0,3.6
572000.0,3.8
574000.0,3.8
576000.0,4.0
578000.0,4.6
580000.0,3.4
582000.0,4.2
584000.0,4.2
586000.0,3.6
588000.0,3.6
590000.0,4.2
592000.0,4.2
594000.0,4.2
596000.0,3.6
598000.0,3.6
600000.0,4.4
602000.0,3.0
604000.0,3.8
606000.0,4.6
608000.0,3.8
610000.0,3.8
612000.0,4.4
614000.0,4.4
616000.0,4.4
618000.0,4.0
620000.0,4.0
622000.0,4.6
624000.0,3.6
626000.0,3.4
628000.0,4.2
630000.0,3.8
632000.0,4.2
634000.0,4.4
636000.0,4.2
638000.0,4.2
640000.0,3.8
642000.0,4.6
644000.0,3.6
646000.0,4.2
648000.0,4.4
650000.0,4.0
652000.0,4.8
654000.0,3.8
656000.0,4.2
658000.0,4.0
660000.0,4.6
662000.0,3.8
664000.0,4.2
666000.0,4.6
668000.0,4.6
670000.0,4.0
672000.0,4.4
674000.0,3.8
676000.0,4.6
678000.0,4.2
680000.0,4.6
682000.0,4.8
684000.0,4.6
686000.0,3.4
688000.0,3.8
690000.0,4.6
692000.0,4.4
694000.0,4.6
696000.0,4.8
698000.0,3.8
700000.0,4.6
702000.0,4.8
704000.0,4.2
706000.0,4.0
708000.0,4.8
710000.0,4.4
712000.0,4.0
714000.0,4.6
716000.0,4.6
718000.0,4.8
720000.0,4.0
722000.0,4.8
724000.0,4.8
726000.0,4.8
728000.0,4.0
730000.0,3.4
732000.0,4.4
734000.0,4.8
736000.0,4.2
738000.0,4.6
740000.0,4.6
742000.0,5.0
744000.0,4.6
746000.0,5.0
748000.0,4.6
750000.0,4.0
752000.0,4.8
754000.0,4.0
756000.0,5.4
758000.0,4.2
760000.0,5.0
762000.0,4.6
764000.0,4.6
766000.0,4.8
768000.0,4.6
770000.0,4.8
772000.0,5.2
774000.0,4.6
776000.0,4.8
778000.0,4.2
780000.0,4.6
782000.0,4.4
784000.0,4.8
786000.0,4.8
788000.0,5.2
790000.0,4.4
792000.0,4.4
794000.0,4.8
796000.0,5.0
798000.0,4.4
800000.0,5.0
